,content,hit_count,last_hit,cost,id
0,1,50,1636708973.742279,15,5afb9395-09c6-4df0-85fc-9c6bf929b5b7
3,4,4,1636708973.764139,15,309d5911-f8d9-4bde-a537-76b70464f63e
0,1,51,1636708973.778796,15,80049eb0-ef0a-4b11-9206-9128a7e57dac
0,143.0,0.0,1636708973.796409,350.0,e721fbce-ff6e-4ab9-8598-c7e8782fd301
1,2,14,1636708973.809398,15,389d5321-6aa4-4168-bea2-2ca0d2e9d34f
4,5,5,1636708973.815341,15,358c0f29-62a4-4b9b-842d-4879517c81dc
0,16.0,0.0,1636708973.818424,350.0,ca76ccf9-be90-447c-a796-069fa6b992fb
0,1146.0,0.0,1636708973.837845,350.0,9480f985-528c-4339-b520-ea4240a39de3
0,82.0,0.0,1636708973.847634,350.0,45946b50-3752-433c-bf2a-4fb5b4ea8e65
0,1,52,1636708973.85455,15,9f861080-0e68-4fc2-8dcc-68931c69e763
2,3,9,1636708973.859576,15,725532c2-91f4-4291-92d7-6a086520cfdf
6,7,5,1636708973.864447,15,bf11466f-5299-408f-8e3e-aee222e11b0a
1,2,15,1636708973.869076,15,2a647f03-5b97-4137-9f5a-5fe46ae86611
0,1,53,1636708973.873706,15,8f7426e3-1841-4f4d-857d-09d7b22a1021
0,1,54,1636708973.878343,15,7ee481f9-ddb4-43e4-820f-ae8becd78840
0,1,55,1636708973.884222,15,f94df4ec-6f83-48d1-a7d9-803c6c47ace8
1,2,16,1636708973.888808,15,b702a7fd-263c-4ab2-be94-e41ae58473a6
1,2,17,1636708973.893581,15,7de3d2bc-e252-4680-a6be-30b5ca3987ca
1,2,18,1636708973.898227,15,5294cf7c-9e18-4215-b174-b5d364dc5037
0,1,56,1636708973.902916,15,85a18a1c-e22d-469f-a629-a9d44ed12e2c
0,1,57,1636708973.907628,15,d4e106ae-94bf-4c0b-a661-247d3802562f
0,1070.0,0.0,1636708973.910015,350.0,efd312b4-94d3-410d-b2f6-ebb2414f4587
0,1,58,1636708973.917287,15,cb3f9e35-e6ef-4dc4-bb5b-af1c8da7bb66
2,3,10,1636708973.922233,15,52989534-0ebf-448a-b0e6-021f8e661b2f
4,5,6,1636708973.927003,15,9b79acc7-3a37-431b-a2ab-4bf58c977c46
2,3,11,1636708973.931785,15,cb1f8ce5-86f9-45b6-a9c8-0eb47f787e47
1,2,19,1636708973.93653,15,ea069ea8-c879-49c9-b347-e19053d9ca52
0,1,59,1636708973.942349,15,1511dbd8-8547-497d-b693-06ddb574c2fc
4,5,7,1636708973.947252,15,9a92aab9-abc1-4288-91e0-ad9396348e9b
0,1,60,1636708973.951969,15,ca92a00c-5155-4857-a1f7-d852543daf0d
3,4,5,1636708973.956483,15,1823029c-6f45-4a93-85e8-bb4070931c26
0,1,61,1636708973.961111,15,76e6581c-8037-4aed-ab6e-29fa8ffc6600
0,1,62,1636708973.965641,15,89d025da-7f06-4c83-adb4-59c2975bafc3
0,1,63,1636708973.97024,15,c037858c-a9cc-483f-bc46-434ecf6b2a33
0,1,64,1636708973.975968,15,a5ca72be-9669-4596-937f-960c1e9538c5
0,15.0,0.0,1636708973.978351,350.0,44241db3-e75d-4f79-bb5b-78801c46ed60
1,2,20,1636708973.98467,15,d4430af5-a15e-4420-8aeb-c7bbd11701cc
0,1,65,1636708973.989339,15,0db6f7b0-409d-4358-a0c4-c31f4c502696
0,21.0,0.0,1636708973.991765,350.0,f849ded5-8523-405d-b8b9-d65b9a7cbdf5
1,2,21,1636708973.997806,15,be789655-3d2a-4cc6-8274-3ef6e0b20702
0,1,66,1636708974.002487,15,b1a905fb-4213-4c68-b7ba-b8ed66c51474
0,1,67,1636708974.007664,15,29978a5f-7847-4f3c-b5c8-d9afc24fec3b
2,3,12,1636708974.012313,15,fdd19708-d305-405e-ad8c-61a46654f840
0,1,68,1636708974.016984,15,d513ef1e-7462-4c40-86ee-39f628ebb2af
0,1,69,1636708974.022113,15,83169b55-2ba3-4bfe-b961-c8f14bc16149
2,3,13,1636708974.026777,15,65f24408-64ad-4cbe-a42e-14344fee90f1
0,13.0,0.0,1636708974.029434,350.0,664dc03b-6c25-4aa9-a33d-c38d63bcf61e
5,6,2,1636708974.035986,15,0299fcc3-4b87-424b-9e4b-90ad69d833f0
1,2,22,1636708974.040969,15,958c6401-8193-4a8c-8a7e-675d6a8a8e70
0,1,70,1636708974.045552,15,b13ef822-56cf-4e41-8c3c-2ed5e48fa9f6
0,1,71,1636708974.050825,15,d3fd179b-7379-433a-a2e6-38450e3ad255
2,3,14,1636708974.055471,15,cd6ab310-c27a-44af-8ac2-22cda9e2f04e
1,2,23,1636708974.060589,15,91834f9b-19a7-4de4-9c68-18a94e4a34fb
1,2,24,1636708974.065263,15,cddd8bb0-376e-4d40-87af-afd9d3ee3f1d
0,1,72,1636708974.070561,15,75a17ee4-25af-48ff-842c-8356f5e7d990
3,4,6,1636708974.07518,15,98cece9d-bfcb-44c0-bc74-f8e09ab02c94
0,1,73,1636708974.079756,15,633dcaf6-8682-4fb6-8581-58e52b231eb8
4,5,8,1636708974.0843,15,dc5df879-e090-45e6-a50e-cbce7acccdb3
1,2,25,1636708974.089105,15,84706cb5-ef21-452b-85ed-2fd87e4d1867
1,2,26,1636708974.094052,15,b42590c6-4e5b-4705-a224-af35100d9a70
0,1,74,1636708974.099052,15,635d8b28-d655-4f33-ba06-61dcbb9d1519
0,1,75,1636708974.104175,15,44e6eed9-7647-4da0-b8e6-e8cab3a3d31e
0,96.0,0.0,1636708974.106549,350.0,d1b68797-c721-40d4-aa34-3415331441b8
0,1,76,1636708974.113508,15,25b49e34-8efc-43ad-bbe2-f1a49520cfeb
0,1,77,1636708974.118213,15,553fab2e-0022-4750-aa59-67a6b023ca36
1,2,27,1636708974.123107,15,ab31bfad-20fd-4c92-a29b-1826ecc0c226
0,1,78,1636708974.127643,15,6bcc80f0-1464-47b2-b953-80a6beac3b5d
3,4,7,1636708974.132741,15,e93d08bc-66bc-485e-a33f-6b28a10b2810
0,1,79,1636708974.137437,15,2d906a30-94d8-47ac-b7b1-3a1c7faf89ab
0,60.0,0.0,1636708974.139825,350.0,8050d5ac-b741-4abd-98b1-c4baa3f34a47
0,1,80,1636708974.146304,15,29a202fe-bea1-43d7-8a45-5d1e78c73c21
2,3,15,1636708974.151157,15,a0ffd74f-ee27-4f9c-9d28-9c9286f58846
2,3,16,1636708974.156039,15,a52812e1-32b6-4b59-b8f3-ea50a6b45cac
0,1,81,1636708974.16105,15,ec838796-594b-470e-8939-cadd5d7dc646
1,2,28,1636708974.166249,15,ff472644-1433-4175-8814-17b6a901bf7c
0,1,82,1636708974.171022,15,846da228-2f45-4e71-aac3-9558464d9020
0,1,83,1636708974.176499,15,62c1dfbe-4fd3-47c9-b761-756319554850
2,3,17,1636708974.181787,15,2f2f13d1-7ff8-4f75-8687-0c14f85e5031
0,1,84,1636708974.186401,15,74ac82ef-877d-4e26-ab68-5a99ce4395e4
1,2,29,1636708974.192128,15,796ec9a0-e5bc-4f36-b0f9-e361514c481e
0,1,85,1636708974.196672,15,528f9e58-e185-4a8c-8535-5607afc5b2bc
3,4,8,1636708974.201223,15,84b662d2-1bbe-426b-b52e-9bb8103d1369
8,9,2,1636708974.205767,15,a37ab1a7-083e-4e61-92ad-af313f4e6cb8
0,1,86,1636708974.210388,15,f7f998f1-2a1e-4c5b-a989-89ff35e9b6de
0,1,87,1636708974.215408,15,0438d9d6-d249-48d9-94d5-f4300ca44da8
0,1,88,1636708974.22055,15,7508830b-f847-4b80-a628-06838b308150
0,1,89,1636708974.225203,15,734ab0e5-c31c-468b-b630-1d39f30d9ac5
4,5,9,1636708974.230055,15,43e3cd61-4323-47b7-9701-a2db935bf6d3
2,3,18,1636708974.234893,15,f4b579b2-c958-47a3-bb5f-1dec2f68db54
0,15.0,0.0,1636708974.237475,350.0,7cab34c7-a62e-492d-8fb1-bf76fa832647
3,4,9,1636708974.244008,15,b52b0688-275a-422b-a79e-1ddf2258dda2
0,247.0,0.0,1636708974.246585,350.0,e8956ec1-bcb5-4d74-9114-c159b01adbea
7,8,2,1636708974.258198,15,2a11336c-09ff-47cd-851e-9d3068827c0b
0,1,90,1636708974.263763,15,8b13a165-bc5f-4dd6-8ab1-6d9dbcbb7ecb
0,1,91,1636708974.269439,15,34c45417-79b7-4cb1-9937-28b7250a3ade
0,11.0,0.0,1636708974.275089,350.0,9251fa5e-8194-443c-a0f0-ceaa0bf5e031
0,1,92,1636708975.302595,15,00f9859e-aa42-4d10-8e4c-cdfc7a51b517
0,64.0,0.0,1636708975.306339,350.0,7cb82917-14bb-40f0-9c30-7ceea1a4ce5b
0,201.0,0.0,1636708975.310736,350.0,309d5911-f8d9-4bde-a537-76b70464f63e
0,1,93,1636708975.319018,15,5afb9395-09c6-4df0-85fc-9c6bf929b5b7
0,1,94,1636708975.32361,15,279313d9-fcd8-4fa2-b2f4-e4280489eb64
0,1,95,1636708975.328229,15,45946b50-3752-433c-bf2a-4fb5b4ea8e65
0,16.0,0.0,1636708975.330678,350.0,725532c2-91f4-4291-92d7-6a086520cfdf
2,3,19,1636708975.336848,15,d51ddf45-ba24-49f2-a721-9969c095a66f
0,18.0,0.0,1636708975.339313,350.0,ca76ccf9-be90-447c-a796-069fa6b992fb
0,1060.0,0.0,1636708975.343177,350.0,b702a7fd-263c-4ab2-be94-e41ae58473a6
0,1,96,1636708975.349219,15,d4e106ae-94bf-4c0b-a661-247d3802562f
0,1,97,1636708975.353828,15,8f7426e3-1841-4f4d-857d-09d7b22a1021
0,1,98,1636708975.35841,15,9f861080-0e68-4fc2-8dcc-68931c69e763
4,5,10,1636708975.363083,15,cb3f9e35-e6ef-4dc4-bb5b-af1c8da7bb66
0,1,99,1636708975.367675,15,52989534-0ebf-448a-b0e6-021f8e661b2f
0,511.0,0.0,1636708975.370123,350.0,389d5321-6aa4-4168-bea2-2ca0d2e9d34f
0,89.0,0.0,1636708975.383911,350.0,9480f985-528c-4339-b520-ea4240a39de3
0,1,100,1636708975.390081,15,ca92a00c-5155-4857-a1f7-d852543daf0d
0,1,101,1636708975.394745,15,80049eb0-ef0a-4b11-9206-9128a7e57dac
1,2,30,1636708975.399414,15,358c0f29-62a4-4b9b-842d-4879517c81dc
1,2,31,1636708975.404026,15,5294cf7c-9e18-4215-b174-b5d364dc5037
1,2,32,1636708975.408608,15,ea069ea8-c879-49c9-b347-e19053d9ca52
0,12.0,0.0,1636708975.411123,350.0,e721fbce-ff6e-4ab9-8598-c7e8782fd301
0,40.0,0.0,1636708975.41503,350.0,9a92aab9-abc1-4288-91e0-ad9396348e9b
0,1,102,1636708975.421141,15,efd312b4-94d3-410d-b2f6-ebb2414f4587
2,3,20,1636708975.425737,15,d513ef1e-7462-4c40-86ee-39f628ebb2af
0,1,103,1636708975.430361,15,7ee481f9-ddb4-43e4-820f-ae8becd78840
0,355.0,0.0,1636708975.432798,350.0,f849ded5-8523-405d-b8b9-d65b9a7cbdf5
0,60.0,0.0,1636708975.436749,350.0,bf11466f-5299-408f-8e3e-aee222e11b0a
3,4,10,1636708975.442852,15,2a647f03-5b97-4137-9f5a-5fe46ae86611
1,2,33,1636708975.44753,15,89d025da-7f06-4c83-adb4-59c2975bafc3
0,1,104,1636708975.45216,15,85a18a1c-e22d-469f-a629-a9d44ed12e2c
5,6,3,1636708975.456774,15,d3fd179b-7379-433a-a2e6-38450e3ad255
